name,age,
Gavriandel,16,
Kalveronis,10,
Sorvalenti,16,
Kalveronis,10,
Calveronis,12,
Varnoldies,20,
Hestoriane,19,
Marcellion,14,
Kalveronis,10,
Hestoriane,19,
Marcellion,14,
Estavionel,20,
Orlanderis,16,
Brantolvis,10,
Varnoldies,20,
Orlanderis,16,
Hestoriane,19,
Farnoldric,18,
Estavionel,20,
Orlanderis,16,
Taviondrel,16,
Kalveronis,10,
Farnoldric,18,
Calveronis,12,
Norvalenti,17,
Taviondrel,16,
Kalveronis,10,
Brantolvis,10,
Kalveronis,10,
Sorvalenti,16,
Hestoriane,19,
Parviondel,12,
Ivandoriel,13,
Quinterius,14,
Estavionel,20,
Jorvalenci,11,
Hestoriane,19,
Lornavides,16,
Marcellion,14,
Ivandoriel,13,
