name,age,
Ivandoriel,13,
Varnoldies,20,
Farnoldric,18,
Norvalenti,17,
Ivandoriel,13,
Norvalenti,17,
Norvalenti,17,
Estavionel,20,
Hestoriane,19,
Estavionel,20,
Gavriandel,16,
Farnoldric,18,
Lornavides,16,
Norvalenti,17,
Farnoldric,18,
Ivandoriel,13,
Hestoriane,19,
Lornavides,16,
Parviondel,12,
Jorvalenci,11,
Calveronis,12,
Norvalenti,17,
Lornavides,16,
Varnoldies,20,
Hestoriane,19,
Darnellius,15,
Brantolvis,10,
Darnellius,15,
Jorvalenci,11,
Jorvalenci,11,
Lornavides,16,
Ivandoriel,13,
Ivandoriel,13,
Parviondel,12,
Norvalenti,17,
Parviondel,12,
Ivandoriel,13,
Ravendolis,15,
Lornavides,16,
Gavriandel,16,
Brantolvis,10,
Quinterius,14,
Calveronis,12,
Lornavides,16,
Ivandoriel,13,
Gavriandel,16,
Sorvalenti,16,
Gavriandel,16,
Ivandoriel,13,
Estavionel,20,
Gavriandel,16,
Kalveronis,10,
Quinterius,14,
Quinterius,14,
Jorvalenci,11,
Calveronis,12,
Kalveronis,10,
Jorvalenci,11,
Ravendolis,15,
Taviondrel,16,
Jorvalenci,11,
Taviondrel,16,
Sorvalenti,16,
Ivandoriel,13,
Gavriandel,16,
Kalveronis,10,
Calveronis,12,
Farnoldric,18,
Hestoriane,19,
Estavionel,20,
Kalveronis,10,
Taviondrel,16,
Taviondrel,16,
Darnellius,15,
Jorvalenci,11,
Sorvalenti,16,
Ivandoriel,13,
Taviondrel,16,
Darnellius,15,
Quinterius,14,
Orlanderis,16,
Ivandoriel,13,
Ravendolis,15,
Kalveronis,10,
Quinterius,14,
Ravendolis,15,
Darnellius,15,
Farnoldric,18,
Ravendolis,15,
Lornavides,16,
Parviondel,12,
Farnoldric,18,
Calveronis,12,
Farnoldric,18,
Marcellion,14,
Hestoriane,19,
Orlanderis,16,
Farnoldric,18,
Lornavides,16,
Marcellion,14,
