name,age,
Gavriandel,16,
Kalveronis,10,
Sorvalenti,16,
Kalveronis,10,
Calveronis,12,
Varnoldies,20,
Hestoriane,19,
Marcellion,14,
Kalveronis,10,
Hestoriane,19,
Marcellion,14,
Estavionel,20,
Orlanderis,16,
Brantolvis,10,
Varnoldies,20,
Orlanderis,16,
Hestoriane,19,
Farnoldric,18,
Estavionel,20,
Orlanderis,16,
Taviondrel,16,
Kalveronis,10,
Farnoldric,18,
Calveronis,12,
Norvalenti,17,
Taviondrel,16,
Kalveronis,10,
Brantolvis,10,
Kalveronis,10,
Sorvalenti,16,
Hestoriane,19,
Parviondel,12,
Ivandoriel,13,
Quinterius,14,
Estavionel,20,
Jorvalenci,11,
Hestoriane,19,
Lornavides,16,
Marcellion,14,
Ivandoriel,13,
Jorvalenci,11,
Darnellius,15,
Marcellion,14,
Orlanderis,16,
Parviondel,12,
Darnellius,15,
Hestoriane,19,
Brantolvis,10,
Hestoriane,19,
Calveronis,12,
Gavriandel,16,
Sorvalenti,16,
Marcellion,14,
Calveronis,12,
Taviondrel,16,
Quinterius,14,
Brantolvis,10,
Ivandoriel,13,
Ravendolis,15,
Kalveronis,10,
