Annette Gray,16.01
Ashley Walls,61.54
Ashley Walls,95.75
Barbara Montgomery,61.96
Barbara Montgomery,99.49
Brian Turner,52.53
Brian Turner,55.99
Brian Turner,61.8
Brian Turner,76.76
Brian Turner,87.51
Brian Turner,90.46
Christine Cooper,57.75
Christine Cooper,73.96
Crystal Hendrix,4.97
Crystal Hendrix,35.08
Crystal Hendrix,48.57
Crystal Hendrix,79.23
Crystal Reyes,38.49
Crystal Reyes,64.23
Crystal Reyes,67.04
Crystal Reyes,72.17
Crystal Reyes,81.03
Crystal Reyes,93
Crystal Reyes,93.99
Daniel Smith,8.84
Daniel Smith,9.97
Daniel Smith,40.49
Daniel Smith,76.78
Daniel Smith,88.2
Daniel Smith,99.08
Dwayne Mccarty,66.09
Emily Brady,61.9
Emily Brady,69.99
Emily Brady,73.56
Jenny Cunningham,63.4
Jenny Cunningham,87.36
Lisa Valenzuela,37.03
Lisa Valenzuela,70.1
Lisa Valenzuela,80.19
Meghan Bernard,1.01
Meghan Bernard,19.71
Meghan Bernard,26.44
Meghan Bernard,57.1
Meghan Bernard,89.98
Michael Rogers,41.8
Michael Rogers,45.19
Natalie Wolf,16.54
Natalie Wolf,34.47
Natalie Wolf,35.56
Parker Fuentes,93.1
Parker Fuentes,99.79
Penny Mendez,11.13
Penny Mendez,11.28
Penny Mendez,39.9
Penny Mendez,46.87
Penny Mendez,72.77
Penny Mendez,74.04
Richard Henderson,24.97
Richard Henderson,50.1
Richard Henderson,77.75
Richard Henderson,89.96
Tyler Perez DDS,0.87
Tyler Perez DDS,32.29
Tyler Perez DDS,68.02
Tyler Perez DDS,81.95
Tyler Perez DDS,91.16
William Pittman,41.57
William Pittman,63.95
William Pittman,92.79
William Pittman,94.08
