Meghan Bernard,3.28
Michael Rogers,3.28
Richard Henderson,3.28
William Pittman,3.28
Brian Turner,8.96
Crystal Reyes,18.08
Daniel Smith,18.08
Dwayne Mccarty,18.08
Michael Rogers,18.08
Christine Cooper,28.62
Christine Cooper,28.62
Michael Rogers,28.62
William Pittman,28.62
Christine Cooper,29.7
Michael Rogers,29.7
Penny Mendez,29.7
Barbara Montgomery,31.14
Emily Brady,31.14
Ashley Walls,35.26
Ashley Walls,35.26
Barbara Montgomery,35.26
Barbara Montgomery,35.26
Brian Turner,35.26
Emily Brady,35.26
Meghan Bernard,35.26
Annette Gray,39
Annette Gray,39
Barbara Montgomery,39
Crystal Reyes,39
Parker Fuentes,42.03
Penny Mendez,42.03
Annette Gray,43.46
Crystal Reyes,47.28
Jenny Cunningham,47.28
Meghan Bernard,47.28
Tyler Perez DDS,47.28
Crystal Hendrix,48.51
Daniel Smith,48.51
Lisa Valenzuela,48.51
Michael Rogers,48.51
Penny Mendez,48.51
Ashley Walls,71.22
Crystal Hendrix,71.22
Michael Rogers,71.22
Christine Cooper,84.4
Christine Cooper,84.4
Daniel Smith,84.4
Emily Brady,84.4
Jenny Cunningham,84.4
Lisa Valenzuela,84.4
Ashley Walls,86.42
Barbara Montgomery,86.42
Richard Henderson,86.42
Tyler Perez DDS,86.42
Tyler Perez DDS,90.57
Dwayne Mccarty,92.77
Natalie Wolf,92.77
Barbara Montgomery,97.37
Michael Rogers,97.37
Richard Henderson,97.37
