Brian Turner,39.0
Brian Turner,28.76
William Pittman,86.42
Christine Cooper,43.46
William Pittman,29.7
Brian Turner,17.98
Jenny Cunningham,29.7
Penny Mendez,90.57
Crystal Hendrix,47.28
William Pittman,92.77
Ashley Walls,29.7
Ashley Walls,18.08
Crystal Hendrix,29.7
Meghan Bernard,28.76
Christine Cooper,84.4
William Pittman,29.7
Natalie Wolf,48.51
Brian Turner,28.76
Emily Brady,97.37
Tyler Perez DDS,39.0
Crystal Reyes,71.22
Emily Brady,90.57
Richard Henderson,39.0
Tyler Perez DDS,84.4
Annette Gray,47.28
Ashley Walls,47.28
Ashley Walls,43.46
Crystal Hendrix,71.22
Meghan Bernard,42.03
Barbara Montgomery,39.0
